################################################################################
# Copyright (c) 2004-2007 by Tensilica Inc.  ALL RIGHTS RESERVED.              #
# These coded instructions, statements, and computer programs are the          #
# copyrighted works and confidential proprietary information of Tensilica Inc. #
# They may not be modified, copied, reproduced, distributed, or disclosed to   #
# third parties in any manner, medium, or form, in whole or in part, without   #
# the prior written consent of Tensilica Inc.                                  #
################################################################################
# Tech     OpCond    Mem    Words Bits  Mux     Pcr     Pcw     Pci      Pa      Pd       Pleak       Area
130g       Best      ram     2048   21    8  56.324  57.605   1.080   0.916   0.206      22.217  212111.22
130g       Best      ram     2048   22    8  57.867  59.267   1.111   0.943   0.202      23.057  219330.92
130g       Best      ram     2048   23    8  59.410  60.929   1.142   0.969   0.199      23.896  227603.47
130g       Best      ram     2048   24    8  60.953  62.592   1.174   0.996   0.196      24.736  234833.32
130g       Best      ram     2048   25    8  62.497  64.254   1.205   1.022   0.193      25.576  243146.73
130g       Best      ram     2048   26    8  64.040  65.916   1.236   1.049   0.190      26.415  250374.39
130g       Best      ram     2048   27    8  65.583  67.578   1.267   1.075   0.188      27.255  258700.89
130g       Best      ram     2048   28    8  67.126  69.240   1.298   1.102   0.185      28.094  266112.21
130g       Best      ram     2048   32    8  73.298  75.889   1.423   1.207   0.178      31.453  297374.94
130g       Best      ram     2048   64    4 121.821 147.874   2.773   2.353   0.173      61.424  589825.52
130g       Best      ram     2048  128    4 199.190 260.035   4.876   4.137   0.152     114.354 1134593.37
130g       Best      ram     4096    4   16  33.105  32.108   0.602   0.468   0.602      10.965  112872.49
130g       Best      ram     4096    8   16  42.291  41.587   0.780   0.606   0.390      17.344  171761.40
130g       Best      ram     4096   12   16  51.477  51.065   0.957   0.745   0.319      23.724  232401.70
130g       Best      ram     4096   16   16  60.664  60.543   1.135   0.883   0.284      30.103  293875.78
130g       Best      ram     4096   20   16  69.972  70.215   1.317   1.024   0.263      36.483  355575.38
130g       Best      ram     4096   24   16  79.279  79.887   1.498   1.165   0.250      42.863  417395.19
130g       Best      ram     4096   28   16  88.587  89.559   1.679   1.306   0.240      49.242  479827.08
130g       Best      ram     4096   32   16  97.895  99.231   1.861   1.447   0.233      55.622  542975.16
130g       Best      ram     4096   64    8 153.203 177.186   3.322   2.584   0.208     109.117 1042132.45
130g       Best      ram     4096  128    4 241.533 381.778   7.158   5.568   0.224     215.946 2201811.51
130g       Best      ram     8192    4   16  53.607  54.749   1.027   0.737   1.027      20.735  208508.27
130g       Best      ram     8192    8   16  64.425  66.426   1.245   0.894   0.623      32.975  319099.98
130g       Best      ram     8192   12   16  75.244  78.104   1.464   1.051   0.488      45.216  430616.38
130g       Best      ram     8192   16   16  86.062  89.781   1.683   1.209   0.421      57.456  541939.42
130g       Best      ram     8192   20   16  96.826 102.100   1.914   1.374   0.383      69.696  654708.20
130g       Best      ram     8192   24   16 107.591 114.420   2.145   1.540   0.358      81.937  767778.72
130g       Best      ram     8192   28   16 118.355 126.739   2.376   1.706   0.339      94.177  881297.92
130g       Best      ram     8192   32   16 129.119 139.059   2.607   1.872   0.326     106.418  994868.46
130g       Best      ram     8192   64    8 199.811 260.830   4.891   3.511   0.306     210.709 2036460.82
130g       Best      ram    16384    4   16  87.496  88.457   1.659   1.106   1.659      40.275  413048.72
130g       Best      ram    16384    8   16 101.138 104.694   1.963   1.309   0.982      64.237  625927.27
130g       Best      ram    16384   12   16 114.781 120.931   2.267   1.512   0.756      88.199  839306.68
