################################################################################
# Copyright (c) 2004-2007 by Tensilica Inc.  ALL RIGHTS RESERVED.              #
# These coded instructions, statements, and computer programs are the          #
# copyrighted works and confidential proprietary information of Tensilica Inc. #
# They may not be modified, copied, reproduced, distributed, or disclosed to   #
# third parties in any manner, medium, or form, in whole or in part, without   #
# the prior written consent of Tensilica Inc.                                  #
################################################################################
# Tech     OpCond    Mem    Words Bits  Mux     Pcr     Pcw     Pci      Pa      Pd       Pleak       Area
65gp       Best      ram      256   32    8  12.521  12.924   0.040   1.618   0.018      13.336   46744.50
65gp       Best      ram      256   64    8  20.667  22.308   0.040   2.998   0.018      23.300   80179.19
65gp       Best      ram      256  128    8  36.959  41.076   0.040   5.756   0.016      43.227  147048.57
65gp       Best      ram      512    4    8   5.674   5.030   0.040   0.481   0.048       6.384   19963.80
65gp       Best      ram      512    8    8   6.712   6.228   0.040   0.584   0.028       8.579   24734.50
65gp       Best      ram      512   12    8   7.749   7.426   0.040   0.756   0.022      10.775   29505.19
65gp       Best      ram      512   16    8   8.787   8.624   0.040   0.929   0.019      12.971   34275.89
65gp       Best      ram      512   17    8   9.046   8.924   0.040   0.972   0.019      13.519   35468.56
65gp       Best      ram      512   18    8   9.306   9.223   0.040   1.015   0.019      14.068   36661.24
65gp       Best      ram      512   19    8   9.565   9.523   0.040   1.058   0.019      14.617   37853.91
65gp       Best      ram      512   20    8   9.825   9.822   0.040   1.101   0.019      15.166   39046.58
65gp       Best      ram      512   21    8  10.084  10.122   0.040   1.144   0.019      15.715   40239.26
65gp       Best      ram      512   22    8  10.343  10.421   0.040   1.187   0.019      16.264   41431.93
65gp       Best      ram      512   23    8  10.603  10.721   0.040   1.230   0.019      16.813   42624.61
65gp       Best      ram      512   24    8  10.862  11.020   0.040   1.273   0.019      17.362   43817.28
65gp       Best      ram      512   25    8  11.122  11.320   0.040   1.316   0.019      17.911   45009.95
65gp       Best      ram      512   26    8  11.381  11.619   0.040   1.360   0.018      18.460   46202.63
65gp       Best      ram      512   27    8  11.641  11.919   0.040   1.403   0.018      19.008   47395.30
65gp       Best      ram      512   28    8  11.900  12.218   0.040   1.446   0.018      19.557   48587.98
65gp       Best      ram      512   29    8  12.159  12.518   0.040   1.489   0.018      20.106   49780.65
65gp       Best      ram      512   30    8  12.419  12.817   0.040   1.532   0.018      20.655   50973.32
65gp       Best      ram      512   31    8  12.678  13.117   0.040   1.575   0.018      21.204   52166.00
65gp       Best      ram      512   32    8  12.938  13.416   0.040   1.618   0.018      21.753   53358.67
65gp       Best      ram      512   64    8  21.239  23.001   0.040   2.998   0.018      39.318   91524.24
65gp       Best      ram      512  128    8  37.842  42.171   0.040   5.756   0.017      74.447  167855.38
65gp       Best      ram     1024    4    8   6.236   5.664   0.040   0.582   0.048       9.915   25138.06
65gp       Best      ram     1024    8    8   7.312   6.912   0.040   0.584   0.028      14.011   31145.24
65gp       Best      ram     1024   12    8   8.389   8.160   0.040   0.756   0.022      18.107   37152.42
65gp       Best      ram     1024   16    8   9.465   9.409   0.040   0.928   0.018      22.202   43159.59
65gp       Best      ram     1024   17    8   9.734   9.721   0.040   0.972   0.018      23.226   44661.39
65gp       Best      ram     1024   18    8  10.004  10.033   0.040   1.015   0.018      24.250   46163.18
65gp       Best      ram     1024   19    8  10.273  10.345   0.040   1.058   0.018      25.274   47664.97
65gp       Best      ram     1024   20    8  10.542  10.657   0.040   1.101   0.018      26.298   49166.77
65gp       Best      ram     1024   21    8  10.811  10.969   0.040   1.144   0.018      27.322   50668.56
65gp       Best      ram     1024   22    8  11.080  11.281   0.040   1.187   0.018      28.346   52170.36
65gp       Best      ram     1024   23    8  11.349  11.593   0.040   1.230   0.018      29.370   53672.15
65gp       Best      ram     1024   24    8  11.618  11.905   0.040   1.273   0.018      30.394   55173.94
65gp       Best      ram     1024   25    8  11.887  12.217   0.040   1.316   0.018      31.418   56675.74
65gp       Best      ram     1024   26    8  12.157  12.529   0.040   1.360   0.018      32.442   58177.53
65gp       Best      ram     1024   27    8  12.426  12.841   0.040   1.403   0.018      33.466   59679.33
65gp       Best      ram     1024   28    8  12.695  13.153   0.040   1.446   0.018      34.490   61181.12
65gp       Best      ram     1024   29    8  12.964  13.466   0.040   1.489   0.018      35.514   62682.91
65gp       Best      ram     1024   30    8  13.233  13.778   0.040   1.532   0.018      36.538   64184.71
65gp       Best      ram     1024   31    8  13.502  14.090   0.040   1.575   0.018      37.562   65686.50
65gp       Best      ram     1024   32    8  13.771  14.402   0.040   1.618   0.017      38.586   67188.30
65gp       Best      ram     1024   64    8  22.384  24.388   0.040   2.998   0.017      71.353  115245.70
65gp       Best      ram     1024  128    8  39.609  44.360   0.040   5.756   0.016     136.887  211360.52
65gp       Best      ram     2048    4    8   7.359   6.932   0.040   0.783   0.046      16.977   38062.48
65gp       Best      ram     2048    8    8   8.513   8.281   0.040   0.783   0.027      24.873   47158.16
65gp       Best      ram     2048   12    8   9.667   9.629   0.040   0.783   0.020      32.770   56253.85
65gp       Best      ram     2048   16    8  10.822  10.978   0.040   0.928   0.017      40.666   65349.54
65gp       Best      ram     2048   17    8  11.110  11.315   0.040   0.972   0.017      42.640   67623.46
65gp       Best      ram     2048   18    8  11.399  11.652   0.040   1.015   0.017      44.614   69897.38
65gp       Best      ram     2048   19    8  11.688  11.989   0.040   1.058   0.017      46.589   72171.31
65gp       Best      ram     2048   20    8  11.976  12.327   0.040   1.101   0.017      48.563   74445.23
65gp       Best      ram     2048   21    8  12.265  12.664   0.040   1.144   0.017      50.537   76719.15
65gp       Best      ram     2048   22    8  12.553  13.001   0.040   1.187   0.017      52.511   78993.07
65gp       Best      ram     2048   23    8  12.842  13.338   0.040   1.230   0.017      54.485   81266.99
65gp       Best      ram     2048   24    8  13.130  13.675   0.040   1.273   0.017      56.459   83540.92
65gp       Best      ram     2048   25    8  13.419  14.012   0.040   1.316   0.017      58.433   85814.84
65gp       Best      ram     2048   26    8  13.708  14.349   0.040   1.360   0.017      60.407   88088.76
65gp       Best      ram     2048   27    8  13.996  14.687   0.040   1.403   0.017      62.381   90362.68
65gp       Best      ram     2048   28    8  14.285  15.024   0.040   1.446   0.017      64.356   92636.60
65gp       Best      ram     2048   29    8  14.573  15.361   0.040   1.489   0.017      66.330   94910.53
65gp       Best      ram     2048   30    8  14.862  15.698   0.040   1.532   0.017      68.304   97184.45
65gp       Best      ram     2048   31    8  15.150  16.035   0.040   1.575   0.017      70.278   99458.37
65gp       Best      ram     2048   32    8  15.439  16.372   0.040   1.618   0.017      72.252  101732.29
65gp       Best      ram     2048   64    8  24.674  27.161   0.040   2.998   0.017     135.424  174497.80
65gp       Best      ram     2048  128    8  43.143  48.738   0.040   5.756   0.017     261.768  320028.80
65gp       Best      ram     4096    4   16   8.801   7.951   0.040   0.791   0.039      22.742   47158.16
65gp       Best      ram     4096    8    8  10.915  11.018   0.040   1.185   0.034      46.598   79184.01
65gp       Best      ram     4096   12    8  12.225  12.567   0.040   1.185   0.026      62.096   94456.72
65gp       Best      ram     4096   16    8  13.535  14.117   0.040   1.185   0.021      77.594  109729.44
65gp       Best      ram     4096   17    8  13.862  14.504   0.040   1.185   0.021      81.468  113547.61
65gp       Best      ram     4096   18    8  14.190  14.891   0.040   1.185   0.021      85.342  117365.79
65gp       Best      ram     4096   19    8  14.517  15.279   0.040   1.185   0.021      89.217  121183.97
65gp       Best      ram     4096   20    8  14.845  15.666   0.040   1.185   0.021      93.091  125002.15
65gp       Best      ram     4096   21    8  15.172  16.053   0.040   1.185   0.021      96.966  128820.33
65gp       Best      ram     4096   22    8  15.500  16.440   0.040   1.187   0.021     100.840  132638.50
65gp       Best      ram     4096   23    8  15.827  16.828   0.040   1.230   0.021     104.715  136456.68
65gp       Best      ram     4096   24    8  16.155  17.215   0.040   1.273   0.021     108.589  140274.86
65gp       Best      ram     4096   25    8  16.482  17.602   0.040   1.316   0.021     112.463  144093.04
65gp       Best      ram     4096   26    8  16.809  17.990   0.040   1.359   0.020     116.338  147911.22
65gp       Best      ram     4096   27    8  17.137  18.377   0.040   1.403   0.020     120.212  151729.39
65gp       Best      ram     4096   28    8  17.464  18.764   0.040   1.446   0.020     124.087  155547.57
65gp       Best      ram     4096   29    8  17.792  19.152   0.040   1.489   0.020     127.961  159365.75
65gp       Best      ram     4096   30    8  18.119  19.539   0.040   1.532   0.020     131.835  163183.93
65gp       Best      ram     4096   31    8  18.447  19.926   0.040   1.575   0.020     135.710  167002.11
65gp       Best      ram     4096   32    8  18.774  20.314   0.040   1.618   0.020     139.584  170820.28
65gp       Best      ram     4096   64    8  29.253  32.707   0.040   2.997   0.019     263.565  293001.98
65gp       Best      ram     4096  128    8  50.210  57.495   0.040   5.756   0.019     511.528  537365.37
65gp       Best      ram     8192    4   16  11.192  10.497   0.040   1.194   0.049      43.391   79184.01
65gp       Best      ram     8192    8   16  13.964  13.098   0.040   1.193   0.030      74.551  109729.44
65gp       Best      ram     8192   12   16  16.737  15.699   0.040   1.193   0.029     105.710  140274.86
65gp       Best      ram     8192   16    8  18.961  20.394   0.040   1.989   0.027     151.449  198489.23
65gp       Best      ram     8192   17    8  19.366  20.882   0.040   1.989   0.027     159.124  205395.92
65gp       Best      ram     8192   18    8  19.771  21.369   0.040   1.990   0.027     166.799  212302.61
65gp       Best      ram     8192   19    8  20.177  21.857   0.040   1.990   0.027     174.474  219209.30
65gp       Best      ram     8192   20    8  20.582  22.344   0.040   1.990   0.026     182.149  226115.99
65gp       Best      ram     8192   21    8  20.987  22.832   0.040   1.990   0.026     189.824  233022.68
65gp       Best      ram     8192   22    8  21.392  23.320   0.040   1.990   0.026     197.499  239929.37
65gp       Best      ram     8192   23    8  21.797  23.807   0.040   1.990   0.026     205.174  246836.06
65gp       Best      ram     8192   24    8  22.203  24.295   0.040   1.990   0.026     212.849  253742.75
65gp       Best      ram     8192   25    8  22.608  24.783   0.040   1.990   0.026     220.524  260649.44
65gp       Best      ram     8192   26    8  23.013  25.270   0.040   1.990   0.025     228.199  267556.13
65gp       Best      ram     8192   27    8  23.418  25.758   0.040   1.990   0.025     235.874  274462.82
65gp       Best      ram     8192   28    8  23.824  26.245   0.040   1.990   0.025     243.549  281369.51
65gp       Best      ram     8192   29    8  24.229  26.733   0.040   1.990   0.025     251.224  288276.20
65gp       Best      ram     8192   30    8  24.634  27.221   0.040   1.990   0.025     258.899  295182.89
65gp       Best      ram     8192   31    8  25.039  27.708   0.040   1.990   0.025     266.574  302089.58
65gp       Best      ram     8192   32    8  25.444  28.196   0.040   1.990   0.025     274.249  308996.27
65gp       Best      ram     8192   64    8  38.412  43.800   0.040   2.997   0.023     519.848  530010.35
65gp       Best      ram     8192  128    8  64.346  75.008   0.040   5.756   0.024    1011.048  972038.51
65gp       Best      ram    16384    4   32  14.318  12.309   0.040   1.194   0.053      74.885  109729.44
65gp       Best      ram    16384    8   16  19.369  18.791   0.040   1.997   0.038     146.139  198489.23
65gp       Best      ram    16384   12   16  22.764  21.993   0.040   1.997   0.036     207.588  253742.75
65gp       Best      ram    16384   16   16  26.159  25.195   0.040   1.997   0.034     269.038  308996.27
65gp       Best      ram    16384   17   16  27.007  25.995   0.040   1.996   0.034     284.401  322809.65
65gp       Best      ram    16384   18   16  27.856  26.795   0.040   1.996   0.034     299.763  336623.03
65gp       Best      ram    16384   19   16  28.705  27.596   0.040   1.996   0.034     315.126  350436.41
65gp       Best      ram    16384   20   16  29.553  28.396   0.040   1.996   0.034     330.488  364249.79
65gp       Best      ram    16384   21   16  30.402  29.197   0.040   1.996   0.034     345.851  378063.17
65gp       Best      ram    16384   22   16  31.251  29.997   0.040   1.996   0.034     361.213  391876.55
65gp       Best      ram    16384   23   16  32.099  30.798   0.040   1.996   0.034     376.576  405689.93
65gp       Best      ram    16384   24   16  32.948  31.598   0.040   1.996   0.034     391.938  419503.31
65gp       Best      ram    16384   25   16  33.797  32.399   0.040   1.996   0.034     407.301  433316.69
65gp       Best      ram    16384   26   16  34.645  33.199   0.040   1.996   0.034     422.663  447130.07
65gp       Best      ram    16384   27   16  35.494  34.000   0.040   1.995   0.034     438.026  460943.45
65gp       Best      ram    16384   28   16  36.343  34.800   0.040   1.995   0.034     453.388  474756.83
65gp       Best      ram    16384   29   16  37.191  35.600   0.040   1.995   0.034     468.751  488570.21
65gp       Best      ram    16384   30   16  38.040  36.401   0.040   1.995   0.033     484.113  502383.59
65gp       Best      ram    16384   31   16  38.889  37.201   0.040   1.995   0.033     499.476  516196.97
65gp       Best      ram    16384   32   16  39.737  38.002   0.040   1.995   0.033     514.838  530010.35
65gp       Best      ram    16384   64   16  66.895  63.616   0.040   3.197   0.031    1006.438  972038.51
65gp       Best      ram    32768    4   32  19.796  18.042   0.040   1.998   0.059     146.941  198489.23
65gp       Best      ram    32768    8   32  26.989  23.465   0.040   1.997   0.041     269.711  308996.27
65gp       Best      ram    32768   12   32  34.183  28.888   0.040   1.996   0.039     392.480  419503.31
65gp       Best      ram    32768   16   32  41.376  34.311   0.040   1.995   0.038     515.250  530010.35
65gp       Best      ram    32768   17   32  43.174  35.666   0.040   1.995   0.038     545.943  557637.11
65gp       Best      ram    32768   18   32  44.973  37.022   0.040   1.995   0.038     576.635  585263.87
65gp       Best      ram    32768   19   32  46.771  38.378   0.040   1.995   0.037     607.328  612890.63
65gp       Best      ram    32768   20   32  48.570  39.734   0.040   1.994   0.037     638.020  640517.39
65gp       Best      ram    32768   21   32  50.368  41.089   0.040   1.994   0.037     668.713  668144.15
65gp       Best      ram    32768   22   32  52.166  42.445   0.040   1.994   0.037     699.405  695770.91
65gp       Best      ram    32768   23   32  53.965  43.801   0.040   1.994   0.037     730.098  723397.67
65gp       Best      ram    32768   24   32  55.763  45.156   0.040   1.994   0.037     760.790  751024.43
65gp       Best      ram    32768   25   32  57.562  46.512   0.040   1.993   0.037     791.482  778651.19
65gp       Best      ram    32768   26   32  59.360  47.868   0.040   1.993   0.037     822.175  806277.95
65gp       Best      ram    32768   27   32  61.158  49.224   0.040   1.993   0.037     852.867  833904.71
65gp       Best      ram    32768   28   32  62.957  50.579   0.040   1.993   0.037     883.560  861531.47
65gp       Best      ram    32768   29   32  64.755  51.935   0.040   1.993   0.037     914.252  889158.23
65gp       Best      ram    32768   30   32  66.553  53.291   0.040   1.992   0.037     944.945  916784.99
65gp       Best      ram    32768   31   32  68.352  54.646   0.040   1.992   0.037     975.637  944411.75
65gp       Best      ram    32768   32   32  70.150  56.002   0.040   1.992   0.037    1006.330  972038.50
65gp       Typical   ram       32    4    8   4.133   3.637   0.038   0.266   0.034      15.919   11758.32
65gp       Typical   ram       32    8    8   4.949   4.601   0.038   0.461   0.020      15.949   14568.18
65gp       Typical   ram       32   12    8   5.776   5.568   0.038   0.614   0.014      15.923   17378.03
65gp       Typical   ram       32   16    8   6.600   6.536   0.038   0.765   0.017      15.864   20187.88
65gp       Typical   ram       32   17    8   6.794   6.771   0.038   0.806   0.017      15.847   20890.34
65gp       Typical   ram       32   18    8   6.985   7.028   0.034   0.843   0.013      15.829   21592.81
65gp       Typical   ram       32   19    8   7.179   7.284   0.037   0.878   0.013      15.810   22295.27
65gp       Typical   ram       32   20    8   7.373   7.534   0.037   0.919   0.013      15.789   22997.76
65gp       Typical   ram       32   21    8   7.566   7.792   0.040   0.956   0.013      15.769   23700.20
65gp       Typical   ram       32   22    8   7.760   8.043   0.040   0.990   0.013      15.748   24402.66
65gp       Typical   ram       32   23    8   7.958   8.303   0.044   1.027   0.013      15.728   25105.13
65gp       Typical   ram       32   24    8   8.152   8.557   0.044   1.064   0.013      15.706   25807.59
65gp       Typical   ram       32   25    8   8.342   8.814   0.044   1.103   0.013      15.684   26510.08
65gp       Typical   ram       32   26    8   8.539   9.068   0.044   1.140   0.013      15.662   27212.52
65gp       Typical   ram       32   27    8   8.733   9.329   0.044   1.177   0.013      15.640   27914.98
65gp       Typical   ram       32   28    8   8.923   9.580   0.049   1.214   0.013      15.618   28617.45
65gp       Typical   ram       32   29    8   9.120   9.838   0.049   1.248   0.013      15.596   29319.91
65gp       Typical   ram       32   30    8   9.317  10.092   0.045   1.285   0.013      15.574   30022.40
65gp       Typical   ram       32   31    8   9.507  10.353   0.045   1.320   0.013      15.551   30724.84
65gp       Typical   ram       32   32    8   9.705  10.607   0.045   1.357   0.013      15.529   31427.30
65gp       Typical   ram       32   64    8  15.926  18.774   0.039   2.519   0.016      14.897   53906.14
65gp       Typical   ram       32  128    8  30.960  34.332   0.040   4.982   0.019      14.047   98863.83
65gp       Typical   ram       64    4    8   4.366   3.864   0.038   0.278   0.037      25.878   13422.08
65gp       Typical   ram       64    8    8   5.205   4.850   0.038   0.459   0.021      26.072   16629.52
65gp       Typical   ram       64   12    8   6.052   5.837   0.038   0.611   0.016      26.175   19836.95
65gp       Typical   ram       64   16    8   6.897   6.825   0.038   0.762   0.017      26.221   23044.39
65gp       Typical   ram       64   17    8   7.099   7.068   0.038   0.802   0.017      26.226   23846.25
65gp       Typical   ram       64   18    8   7.299   7.327   0.035   0.839   0.014      26.231   24648.12
65gp       Typical   ram       64   19    8   7.501   7.585   0.037   0.875   0.014      26.233   25449.97
65gp       Typical   ram       64   20    8   7.703   7.838   0.037   0.915   0.014      26.232   26251.85
65gp       Typical   ram       64   21    8   7.904   8.097   0.039   0.952   0.014      26.231   27053.69
65gp       Typical   ram       64   22    8   8.106   8.352   0.039   0.987   0.014      26.229   27855.55
65gp       Typical   ram       64   23    8   8.310   8.613   0.041   1.024   0.014      26.226   28657.41
65gp       Typical   ram       64   24    8   8.513   8.869   0.041   1.061   0.014      26.221   29459.27
65gp       Typical   ram       64   25    8   8.712   9.129   0.041   1.100   0.014      26.216   30261.15
65gp       Typical   ram       64   26    8   8.916   9.385   0.041   1.137   0.014      26.209   31062.99
65gp       Typical   ram       64   27    8   9.118   9.646   0.041   1.174   0.014      26.202   31864.85
65gp       Typical   ram       64   28    8   9.317   9.901   0.045   1.211   0.014      26.195   32666.71
65gp       Typical   ram       64   29    8   9.521  10.160   0.045   1.246   0.014      26.187   33468.57
65gp       Typical   ram       64   30    8   9.725  10.417   0.042   1.283   0.014      26.178   34270.45
65gp       Typical   ram       64   31    8   9.924  10.678   0.042   1.319   0.014      26.169   35072.29
65gp       Typical   ram       64   32    8  10.129  10.935   0.042   1.356   0.014      26.160   35874.15
65gp       Typical   ram       64   64    8  16.601  19.171   0.039   2.527   0.016      25.797   61533.66
65gp       Typical   ram       64  128    8  31.666  35.215   0.040   4.983   0.018      25.215  112852.68
65gp       Typical   ram      128    4    8   4.613   4.106   0.038   0.291   0.039      42.068   15321.25
65gp       Typical   ram      128    8    8   5.475   5.113   0.038   0.457   0.023      42.621   18982.53
65gp       Typical   ram      128   12    8   6.342   6.120   0.038   0.608   0.017      43.029   22643.81
65gp       Typical   ram      128   16    8   7.208   7.128   0.038   0.759   0.017      43.339   26305.09
65gp       Typical   ram      128   17    8   7.418   7.377   0.038   0.798   0.017      43.405   27220.40
65gp       Typical   ram      128   18    8   7.626   7.638   0.036   0.835   0.015      43.468   28135.73
65gp       Typical   ram      128   19    8   7.837   7.897   0.037   0.872   0.015      43.527   29051.05
65gp       Typical   ram      128   20    8   8.047   8.154   0.037   0.911   0.015      43.582   29966.38
65gp       Typical   ram      128   21    8   8.256   8.415   0.038   0.948   0.015      43.635   30881.69
65gp       Typical   ram      128   22    8   8.467   8.673   0.038   0.984   0.015      43.685   31797.00
65gp       Typical   ram      128   23    8   8.679   8.934   0.039   1.021   0.015      43.732   32712.33
65gp       Typical   ram      128   24    8   8.889   9.193   0.039   1.058   0.015      43.777   33627.65
65gp       Typical   ram      128   25    8   9.098   9.454   0.039   1.097   0.015      43.819   34542.98
65gp       Typical   ram      128   26    8   9.309   9.713   0.039   1.134   0.015      43.859   35458.29
65gp       Typical   ram      128   27    8   9.519   9.975   0.039   1.171   0.015      43.898   36373.60
65gp       Typical   ram      128   28    8   9.728  10.232   0.041   1.208   0.015      43.935   37288.93
65gp       Typical   ram      128   29    8   9.939  10.493   0.041   1.244   0.015      43.970   38204.24
65gp       Typical   ram      128   30    8  10.150  10.752   0.040   1.281   0.015      44.004   39119.58
65gp       Typical   ram      128   31    8  10.359  11.014   0.040   1.318   0.015      44.036   40034.89
65gp       Typical   ram      128   32    8  10.571  11.273   0.040   1.355   0.015      44.067   40950.20
65gp       Typical   ram      128   64    8  17.305  19.577   0.039   2.535   0.016      44.671   70240.44
65gp       Typical   ram      128  128    8  32.388  36.121   0.040   4.984   0.017      45.261  128820.90
65gp       Typical   ram      256    4    8   4.873   4.363   0.038   0.304   0.042      68.385   17489.15
65gp       Typical   ram      256    8    8   5.758   5.390   0.038   0.455   0.025      69.673   21668.49
65gp       Typical   ram      256   12    8   6.645   6.417   0.038   0.605   0.019      70.736   25847.82
65gp       Typical   ram      256   16    8   7.532   7.444   0.038   0.756   0.017      71.633   30027.16
65gp       Typical   ram      256   17    8   7.751   7.700   0.038   0.794   0.017      71.837   31071.99
65gp       Typical   ram      256   18    8   7.969   7.962   0.037   0.831   0.016      72.034   32116.83
65gp       Typical   ram      256   19    8   8.188   8.223   0.037   0.869   0.016      72.224   33161.66
65gp       Typical   ram      256   20    8   8.407   8.483   0.037   0.907   0.016      72.407   34206.50
65gp       Typical   ram      256   21    8   8.625   8.745   0.037   0.944   0.016      72.585   35251.33
65gp       Typical   ram      256   22    8   8.844   9.006   0.037   0.981   0.016      72.757   36296.16
65gp       Typical   ram      256   23    8   9.064   9.268   0.037   1.018   0.016      72.924   37341.00
65gp       Typical   ram      256   24    8   9.283   9.529   0.037   1.055   0.016      73.086   38385.83
65gp       Typical   ram      256   25    8   9.501   9.791   0.037   1.094   0.016      73.243   39430.67
65gp       Typical   ram      256   26    8   9.720  10.052   0.037   1.131   0.016      73.395   40475.50
65gp       Typical   ram      256   27    8   9.939  10.314   0.037   1.168   0.016      73.544   41520.33
65gp       Typical   ram      256   28    8  10.157  10.575   0.038   1.205   0.016      73.689   42565.17
65gp       Typical   ram      256   29    8  10.376  10.837   0.038   1.242   0.016      73.830   43610.00
65gp       Typical   ram      256   30    8  10.595  11.098   0.038   1.279   0.016      73.967   44654.84
65gp       Typical   ram      256   31    8  10.813  11.360   0.038   1.317   0.016      74.101   45699.67
65gp       Typical   ram      256   32    8  11.033  11.621   0.038   1.354   0.016      74.232   46744.50
65gp       Typical   ram      256   64    8  18.039  19.991   0.039   2.543   0.016      77.353   80179.19
65gp       Typical   ram      256  128    8  33.126  37.050   0.040   4.985   0.016      81.246  147048.57
65gp       Typical   ram      512    4    8   5.148   4.636   0.038   0.318   0.045     111.166   19963.80
65gp       Typical   ram      512    8    8   6.056   5.682   0.038   0.453   0.027     113.896   24734.50
65gp       Typical   ram      512   12    8   6.963   6.728   0.038   0.602   0.021     116.283   29505.19
65gp       Typical   ram      512   16    8   7.871   7.774   0.038   0.753   0.017     118.399   34275.89
65gp       Typical   ram      512   17    8   8.099   8.037   0.038   0.790   0.017     118.892   35468.56
65gp       Typical   ram      512   18    8   8.327   8.300   0.038   0.827   0.017     119.372   36661.24
65gp       Typical   ram      512   19    8   8.555   8.562   0.037   0.866   0.017     119.840   37853.91
65gp       Typical   ram      512   20    8   8.783   8.825   0.037   0.903   0.017     120.297   39046.58
65gp       Typical   ram      512   21    8   9.010   9.088   0.036   0.940   0.017     120.743   40239.26
65gp       Typical   ram      512   22    8   9.238   9.352   0.036   0.978   0.017     121.177   41431.93
65gp       Typical   ram      512   23    8   9.466   9.614   0.035   1.015   0.017     121.602   42624.61
65gp       Typical   ram      512   24    8   9.694   9.877   0.035   1.052   0.017     122.018   43817.28
65gp       Typical   ram      512   25    8   9.922  10.140   0.035   1.091   0.017     122.424   45009.95
65gp       Typical   ram      512   26    8  10.149  10.403   0.035   1.128   0.017     122.822   46202.63
65gp       Typical   ram      512   27    8  10.377  10.665   0.035   1.165   0.017     123.212   47395.30
65gp       Typical   ram      512   28    8  10.605  10.929   0.035   1.202   0.017     123.593   48587.98
65gp       Typical   ram      512   29    8  10.832  11.192   0.035   1.240   0.017     123.967   49780.65
65gp       Typical   ram      512   30    8  11.059  11.455   0.036   1.277   0.017     124.333   50973.32
65gp       Typical   ram      512   31    8  11.287  11.717   0.036   1.316   0.017     124.693   52166.00
65gp       Typical   ram      512   32    8  11.515  11.980   0.036   1.353   0.017     125.046   53358.67
65gp       Typical   ram      512   64    8  18.804  20.414   0.039   2.551   0.016     133.947   91524.24
65gp       Typical   ram      512  128    8  33.881  38.003   0.040   4.986   0.015     145.840  167855.38
65gp       Typical   ram     1024    4    8   5.626   5.286   0.039   0.410   0.044     196.499   25138.06
65gp       Typical   ram     1024    8    8   6.563   6.391   0.039   0.452   0.026     202.214   31145.24
65gp       Typical   ram     1024   12    8   7.499   7.497   0.039   0.601   0.020     207.448   37152.42
65gp       Typical   ram     1024   16    8   8.435   8.602   0.039   0.752   0.017     212.274   43159.59
65gp       Typical   ram     1024   17    8   8.674   8.872   0.039   0.789   0.017     213.425   44661.39
65gp       Typical   ram     1024   18    8   8.911   9.139   0.039   0.827   0.016     214.554   46163.18
65gp       Typical   ram     1024   19    8   9.150   9.407   0.039   0.866   0.016     215.662   47664.97
65gp       Typical   ram     1024   20    8   9.387   9.675   0.039   0.904   0.016     216.752   49166.77
65gp       Typical   ram     1024   21    8   9.626   9.944   0.039   0.941   0.016     217.823   50668.56
65gp       Typical   ram     1024   22    8   9.865  10.211   0.039   0.979   0.016     218.875   52170.36
65gp       Typical   ram     1024   23    8  10.102  10.479   0.039   1.017   0.016     219.910   53672.15
65gp       Typical   ram     1024   24    8  10.341  10.748   0.039   1.055   0.016     220.929   55173.94
65gp       Typical   ram     1024   25    8  10.578  11.016   0.039   1.094   0.016     221.931   56675.74
65gp       Typical   ram     1024   26    8  10.817  11.284   0.039   1.132   0.016     222.917   58177.53
65gp       Typical   ram     1024   27    8  11.054  11.553   0.039   1.170   0.016     223.888   59679.33
65gp       Typical   ram     1024   28    8  11.293  11.821   0.039   1.208   0.016     224.844   61181.12
65gp       Typical   ram     1024   29    8  11.530  12.088   0.039   1.245   0.016     225.786   62682.91
65gp       Typical   ram     1024   30    8  11.769  12.357   0.039   1.283   0.016     226.715   64184.71
65gp       Typical   ram     1024   31    8  12.006  12.625   0.039   1.321   0.016     227.630   65686.50
65gp       Typical   ram     1024   32    8  12.245  12.893   0.039   1.360   0.016     228.532   67188.30
65gp       Typical   ram     1024   64    8  19.856  21.475   0.039   2.570   0.015     252.406  115245.70
65gp       Typical   ram     1024  128    8  35.411  40.051   0.040   5.021   0.015     285.860  211360.52
65gp       Typical   ram     2048    4    8   6.626   6.385   0.040   0.601   0.045     367.017   38062.48
65gp       Typical   ram     2048    8    8   7.628   7.569   0.040   0.601   0.026     377.724   47158.16
65gp       Typical   ram     2048   12    8   8.630   8.753   0.040   0.608   0.019     387.635   56253.85
65gp       Typical   ram     2048   16    8   9.633   9.935   0.040   0.761   0.016     396.862   65349.54
65gp       Typical   ram     2048   17    8   9.891  10.243   0.040   0.798   0.016     399.073   67623.46
65gp       Typical   ram     2048   18    8  10.151  10.550   0.041   0.836   0.016     401.249   69897.38
65gp       Typical   ram     2048   19    8  10.410  10.858   0.041   0.873   0.016     403.390   72171.31
65gp       Typical   ram     2048   20    8  10.669  11.165   0.041   0.912   0.016     405.498   74445.23
65gp       Typical   ram     2048   21    8  10.929  11.473   0.041   0.949   0.016     407.573   76719.15
65gp       Typical   ram     2048   22    8  11.188  11.779   0.041   0.987   0.016     409.618   78993.07
65gp       Typical   ram     2048   23    8  11.447  12.086   0.041   1.024   0.016     411.632   81266.99
65gp       Typical   ram     2048   24    8  11.707  12.394   0.041   1.061   0.016     413.617   83540.92
